index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,category,TasterName,TastingDate,Country,Price,QuantitySold,ProduceDate,Sequence Tasting
7,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,red,Alice,12/31/2020,Spain,45.38,92,12/7/2018,1
23,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,red,Alice,2/25/2020,Spain,82.1,74,9/22/2003,2
27,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,red,Alice,10/24/2022,Australia,25.97,69,12/6/2002,3
30,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,red,Alice,8/12/2021,Australia,55.82,22,12/15/2000,4
31,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,red,Alice,10/26/2020,France,72.84,71,12/29/2016,5
63,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,red,Alice,6/20/2022,Argentina,40.55,5,3/28/2014,6
68,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,red,,1/29/2020,France,70.81,38,4/17/2013,7
70,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,red,Alice,5/2/2022,Australia,67.31,13,11/13/2017,8
79,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,red,,9/22/2020,USA,43,5,6/2/2000,9
92,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,red,Alice,5/19/2021,Argentina,18.97,3,7/13/2000,10
95,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,red,Alice,4/1/2020,Italy,14.81,87,4/13/2011,11
98,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,red,Alice,7/17/2020,Australia,57.9,52,3/15/2003,12
101,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,red,Alice,1/14/2021,Italy,98.83,60,10/1/2016,13
109,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,red,Alice,6/17/2020,Italy,42.96,48,5/28/2004,14
115,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,red,Alice,9/30/2020,Spain,94.11,70,12/3/2010,15
118,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,red,Alice,2/4/2020,Spain,34.16,20,7/15/2018,16
125,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,red,Alice,8/3/2020,Australia,77.36,51,8/2/2003,17
127,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,red,Alice,6/4/2021,Spain,66.03,67,1/8/2018,18
128,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,red,Alice,11/21/2020,Argentina,76.77,72,9/1/2014,19
